code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLC23,Sunderland,2005,25.0,,,,,,,,,,279199.0,84.8,3818466.0
TLC23,Sunderland,2006,25.1,,,,,,,,,,278370.0,83.9,3967576.0
TLC23,Sunderland,2007,25.5,,,,,,,,,,277834.0,83.0,3954520.0
TLC23,Sunderland,2008,26.5,,,,,,,,,,276812.0,82.7,3974360.0
TLC23,Sunderland,2009,27.6,,,,,,,,,,276209.0,83.2,3788872.0
TLC23,Sunderland,2010,28.5,,,,,,,,,,275980.0,88.9,3496840.0
TLC23,Sunderland,2011,29.1,,,,,,,,,,275330.0,86.4,3652273.0
TLC23,Sunderland,2012,29.9,,,0.2991596638655462,0.2156862745098039,0.7282913165266106,0.3443298969072165,0.6483435458035646,,,275317.0,84.1,3737890.0
TLC23,Sunderland,2013,31.1,,,0.2550070521861777,0.2420310296191819,0.7308885754583921,0.3569182389937106,0.643967055045105,,,275247.0,88.8,3718238.0
TLC23,Sunderland,2014,32.2,,,0.2692911139637712,0.231636000570532,0.7334189131364998,0.3269127875869448,0.6356277946408173,,,275751.0,91.7,3676796.0
TLC23,Sunderland,2015,33.2,,,0.2440620110937277,0.2531645569620253,0.7037405774427535,0.299087854056649,0.6382349096613025,,,275408.0,93.6,3764530.0
TLC23,Sunderland,2016,33.8,0.7287104622871047,,0.2298719772403983,0.2588904694167852,0.7347083926031295,0.3061662198391421,0.6379541907147265,,,275490.0,92.4,3797477.0
TLC23,Sunderland,2017,34.7,0.7314934227495486,0.1313526192337764,0.2427017744705208,0.2724670864338867,0.7572982255294791,0.3360849056603773,0.6356980670703307,,,274816.0,95.9,3762995.0
TLC23,Sunderland,2018,35.5,0.6664080682699767,0.1195219123505976,0.2425806451612903,0.2511827956989247,0.7571326164874552,0.3234946871310508,0.6356187053244343,0.8508,0.004,274339.0,93.3,3779116.0
TLC23,Sunderland,2019,35.9,0.6013272704928107,0.1337529504327301,0.2135394303706884,0.2725060827250608,0.7548303993130099,0.3380035026269702,0.6368561709512646,0.9044,0.048,274277.0,100.0,3610474.0
TLC23,Sunderland,2020,36.0,0.5526389276738342,0.1589205397301349,0.2025607826212055,0.2848511005610703,0.7578765645230902,0.4147355912061794,0.6351820105781426,0.8955,0.069,273583.0,87.5,3444442.0
TLC23,Sunderland,2021,36.2,0.4779765082754938,0.1582682753726046,0.2223505630955818,0.2466069881605544,0.7161420733468091,0.3835198372329603,0.6310637150208837,0.8957,0.114,274378.0,83.6,3774085.0
TLC23,Sunderland,2022,36.5,0.4106621226874391,0.1489515545914678,0.1081871345029239,0.2707602339181286,0.7368421052631579,0.3088888888888889,0.616540594330711,0.916,0.2749999999999999,277354.0,94.1,3478498.0
TLC23,Sunderland,2023,,,,,,,,,0.9189,0.418,,,
TLC23,Sunderland,2024,,,,,,,,,0.9147,0.509,,,
TLD11,West Cumbria,2004,23.0,,,,,,,,,,235441.0,98.9,2878757.0
TLD11,West Cumbria,2005,22.8,,,,,,,,,,235479.0,105.9,2781883.0
TLD11,West Cumbria,2006,24.1,,,,,,,,,,235875.0,109.0,2904101.0
TLD11,West Cumbria,2007,24.6,,,,,,,,,,236591.0,102.3,3033303.0
TLD11,West Cumbria,2008,24.9,,,,,,,,,,236819.0,104.1,3067037.0
TLD11,West Cumbria,2009,24.8,,,,,,,,,,236815.0,97.3,3158233.0
TLD11,West Cumbria,2010,25.0,,,,,,,,,,236359.0,92.3,3374220.0
TLD11,West Cumbria,2011,25.6,,,,,,,,,,236127.0,95.4,3169187.0
TLD11,West Cumbria,2012,26.7,,,0.2439193884642112,0.2453092425295344,0.763724808895066,0.3470588235294117,0.6128124214820777,,,234819.0,101.6,3140552.0
TLD11,West Cumbria,2013,27.8,,,0.2286112563164314,0.2495208224429343,0.752570134169716,0.3007042253521126,0.6134425037945999,,,233885.0,105.0,3075775.0
TLD11,West Cumbria,2014,28.4,,,0.225302684681523,0.261800315844885,0.7676785400947534,0.2688821752265861,0.6096282540606227,,,233708.0,106.4,3200718.0
TLD11,West Cumbria,2015,28.5,,,0.2141238012205754,0.2629468177855275,0.7890148212728858,0.2545454545454545,0.6138968696076627,,,233549.0,105.3,3346633.0
TLD11,West Cumbria,2016,28.6,0.2452728254997298,,0.2304409672830725,0.2930298719772404,0.77649359886202,0.2402545743834526,0.6030116270591818,,,233163.0,104.8,3211595.0
TLD11,West Cumbria,2017,28.7,0.2467023172905526,0.0928481806775407,0.2052921328360859,0.2784585331202273,0.7851180962528858,0.3140495867768595,0.6067364882337729,,,232020.0,103.1,3230282.0
TLD11,West Cumbria,2018,29.1,0.2418185034494958,0.0991682661548304,0.1938958707360861,0.2929982046678636,0.781508078994614,0.3541495480690222,0.6009356038701548,0.6179715771084235,0.0067900817797432,231722.0,102.5,3275925.0
TLD11,West Cumbria,2019,30.0,0.2150741635046567,0.0964010282776349,0.2221004566210045,0.3024657534246575,0.7866666666666666,0.3792808219178082,0.5918125570193834,0.6818433643514809,0.0126526894205766,231281.0,100.0,3368673.0
